資源名稱,資源類型,地點,服務內容,電話,網址
"新北市私立沐心老人長期照顧中心（養護型）","1966 長照服務","新北市三重區","私立老人福利機構，收容對象：養護，核定床數 46 床","02-29990737",""
"新北市私立圓滿老人長期照顧中心（養護型）","1966 長照服務","新北市三重區","私立老人福利機構，收容對象：養護，核定床數 39 床","02-29998867",""
"新北市私立蓮愛老人養護中心","1966 長照服務","新北市三重區","私立老人福利機構，收容對象：養護，核定床數 32 床","02-29896770",""
"新北市私立安泰老人長期照顧中心（養護型）","1966 長照服務","新北市三重區","私立老人福利機構，收容對象：養護，核定床數 30 床","02-29737632",""
"新北市私立長園老人長期照顧中心(養護型)","1966 長照服務","新北市三重區","私立老人福利機構，收容對象：養護，核定床數 46 床","02-29860063",""
"新北市私立慈恩老人長期照顧中心(養護型)","1966 長照服務","新北市三峽區","私立老人福利機構，收容對象：養護，核定床數 45 床","02-26738500",""
"新北市私立安康老人長期照顧中心（養護型）","1966 長照服務","新北市三峽區","私立老人福利機構，收容對象：養護，核定床數 31 床","02-86719488",""
"新北市私立清安養老院老人長期照顧中心(養護型)","1966 長照服務","新北市三峽區","私立老人福利機構，收容對象：養護，核定床數 48 床","02-86722809",""
"新北市私立清平養老院老人長期照顧中心（養護型）","1966 長照服務","新北市三峽區","私立老人福利機構，收容對象：養護，核定床數 48 床","02-86725678",""
"新北市私立清心養老院老人長期照顧中心（養護型）","1966 長照服務","新北市三峽區","私立老人福利機構，收容對象：養護，核定床數 48 床","02-86721354",""
"新北市私立清氣養老院老人長期照顧中心（養護型）","1966 長照服務","新北市三峽區","私立老人福利機構，收容對象：養護，核定床數 48 床","02-86721354",""
"新北市私立清福養老院老人長期照顧中心（養護型）","1966 長照服務","新北市三峽區","私立老人福利機構，收容對象：養護，核定床數 48 床","02-86725678",""
"新北市私立清景養老院老人長期照顧中心(養護型)","1966 長照服務","新北市三峽區","私立老人福利機構，收容對象：養護，核定床數 48 床","02-86725678",""
"新北市私立清風養老院老人長期照顧中心(養護型)","1966 長照服務","新北市三峽區","私立老人福利機構，收容對象：養護，核定床數 48 床","02-86725678",""
"新北市私立清照養老院老人長期照顧中心(養護型)","1966 長照服務","新北市三峽區","私立老人福利機構，收容對象：養護，核定床數 48 床","02-86725678",""
"新北市私立清日養老院老人長期照顧中心(養護型)","1966 長照服務","新北市三峽區","私立老人福利機構，收容對象：養護，核定床數 48 床","02-86722937",""
"新北市私立清春養老院老人長期照顧中心（養護型）","1966 長照服務","新北市三峽區","私立老人福利機構，收容對象：養護，核定床數 48 床","02-86726395",""
"新北市私立清涼養老院老人長期照顧中心(養護型)","1966 長照服務","新北市三峽區","私立老人福利機構，收容對象：養護，核定床數 48 床","02-86725678",""
"新北市私立清清養老院老人長期照顧中心(養護型)","1966 長照服務","新北市三峽區","私立老人福利機構，收容對象：養護，核定床數 48 床","02-86725678",""
"新北市私立東海老人長期照顧中心(養護型)","1966 長照服務","新北市新店區","私立老人福利機構，收容對象：養護，核定床數 38 床","02-29143333",""
"新北市私立清水養老院老人長期照顧中心(養護型)","1966 長照服務","新北市三峽區","私立老人福利機構，收容對象：養護，核定床數 48 床","02-86725678",""
"新北市私立清泉養老院老人長期照顧中心 (養護型)","1966 長照服務","新北市三峽區","私立老人福利機構，收容對象：養護，核定床數 48 床","02-86725678",""
"新北市私立清山養老院老人長期照顧中心（養護型）","1966 長照服務","新北市三峽區","私立老人福利機構，收容對象：養護，核定床數 48 床","02-86725678",""
"新北市私立衡安老人長期照顧中心（養護型）","1966 長照服務","新北市三峽區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-86711558",""
"新北市私立安新老人長期照顧中心（養護型）","1966 長照服務","新北市三峽區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-86710158",""
"新北市私立主恩福老人長期照顧中心(養護型)","1966 長照服務","新北市三峽區","私立老人福利機構，收容對象：養護，核定床數 47 床","02-86713896",""
"新北市私立廣春老人長期照顧中心(養護型)","1966 長照服務","新北市三峽區","私立老人福利機構，收容對象：養護，核定床數 40 床","02-86715396",""
"新北市私立鴻欣老人長期照顧中心（養護型）","1966 長照服務","新北市三峽區","私立老人福利機構，收容對象：養護，核定床數 40 床","02-86715396",""
"新北市私立智理老人長期照顧中心（養護型）","1966 長照服務","新北市三峽區","私立老人福利機構，收容對象：養護，核定床數 23 床","02-26741007",""
"新北市私立同心老人長期照顧中心(養護型)","1966 長照服務","新北市土城區","私立老人福利機構，收容對象：養護，核定床數 48 床","02-22679979",""
"新北市私立博楷老人長期照顧中心（養護型）","1966 長照服務","新北市土城區","私立老人福利機構，收容對象：養護，核定床數 47 床","02-22672952",""
"新北市私立博群老人長期照顧中心（養護型）","1966 長照服務","新北市土城區","私立老人福利機構，收容對象：養護，核定床數 47 床","02-22677356",""
"新北市私立連馨老人長期照顧中心（養護型）","1966 長照服務","新北市土城區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-22635701",""
"新北市私立銀享家園老人長期照顧中心(養護型)","1966 長照服務","新北市土城區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-22658289",""
"新北市私立銀享樂園老人長期照顧中心(養護型)","1966 長照服務","新北市土城區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-22658299",""
"新北市私立迦勒老人長期照顧中心（養護型）","1966 長照服務","新北市土城區","私立老人福利機構，收容對象：養護，核定床數 38 床","02-82621966",""
"新北市私立大眾老人養護中心","1966 長照服務","新北市土城區","私立老人福利機構，收容對象：養護，核定床數 31 床","02-22602532",""
"新北市私立永泰老人養護中心","1966 長照服務","新北市中和區","私立老人福利機構，收容對象：養護，核定床數 20 床","02-22409933",""
"新北市私立雙和老人長期照顧中心（養護型）","1966 長照服務","新北市中和區","私立老人福利機構，收容對象：養護，核定床數 34 床","02-82458280",""
"新北市私立慈美老人養護中心","1966 長照服務","新北市中和區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-22467727",""
"新北市私立合樂老人長期照顧中心（養護型）","1966 長照服務","新北市中和區","私立老人福利機構，收容對象：養護，核定床數 39 床","02-82458130",""
"新北市私立和樂老人長期照顧中心（養護型）","1966 長照服務","新北市中和區","私立老人福利機構，收容對象：養護，核定床數 39 床","02-82458131",""
"新北市私立闔樂老人長期照顧中心(養護型)","1966 長照服務","新北市中和區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-22422502",""
"新北市私立忠祥老人長期照顧中心（養護型）","1966 長照服務","新北市中和區","私立老人福利機構，收容對象：養護，核定床數 41 床","02-22473386",""
"新北市私立逢海老人長期照顧中心（養護型）","1966 長照服務","新北市中和區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-22451915",""
"新北市私立逢源老人長期照顧中心(養護型）","1966 長照服務","新北市中和區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-22450139",""
"新北市私立福泰老人老人長期照顧中心（養護型）","1966 長照服務","新北市中和區","私立老人福利機構，收容對象：養護，核定床數 43 床","02-22233325",""
"新北市私立中原老人長期照顧中心（養護型）","1966 長照服務","新北市中和區","私立老人福利機構，收容對象：養護，核定床數 42 床","02-22286187",""
"新北市私立一德老人長期照顧中心（養護型）","1966 長照服務","新北市中和區","私立老人福利機構，收容對象：養護，核定床數 42 床","02-22286655",""
"新北市私立皇佳老人長期照顧中心（養護型）","1966 長照服務","新北市中和區","私立老人福利機構，收容對象：養護，核定床數 42 床","02-22286187",""
"新北市私立怡安老人長期照顧中心（養護型）","1966 長照服務","新北市中和區","私立老人福利機構，收容對象：養護，核定床數 47 床","02-82213542",""
"新北市私立怡和老人長期照顧中心（養護型）","1966 長照服務","新北市中和區","私立老人福利機構，收容對象：養護，核定床數 47 床","02-82213540",""
"新北市私立慈和老人長期照顧中心（養護型）","1966 長照服務","新北市中和區","私立老人福利機構，收容對象：養護，核定床數 32 床","02-22212393",""
"新北市私立慈安老人長期照顧中心（養護型）","1966 長照服務","新北市中和區","私立老人福利機構，收容對象：養護，核定床數 32 床","02-22212393",""
"新北市私立慈鴻老人長期照顧中心(養護型)","1966 長照服務","新北市中和區","私立老人福利機構，收容對象：養護，核定床數 32 床","02-22588868",""
"新北市私立?慈老人長期照顧中心（養護型）","1966 長照服務","新北市中和區","私立老人福利機構，收容對象：養護，核定床數 36 床","02-82286093",""
"新北市私立禾藝老人長期照顧中心（養護型）","1966 長照服務","新北市中和區","私立老人福利機構，收容對象：養護，核定床數 32 床","02-22226268",""
"新北市私立連城老人長期照顧中心（養護型）","1966 長照服務","新北市中和區","私立老人福利機構，收容對象：養護，核定床數 48 床","02-22479996",""
"新北市私立美馨老人長期照顧中心（養護型）","1966 長照服務","新北市中和區","私立老人福利機構，收容對象：養護，核定床數 28 床","02-22451915",""
"新北市私立安怡老人長期照顧中心(養護型)","1966 長照服務","新北市中和區","私立老人福利機構，收容對象：養護，核定床數 43 床","02-22287623",""
"新北市私立永順老人養護中心","1966 長照服務","新北市中和區","私立老人福利機構，收容對象：養護，核定床數 47 床","02-32340828",""
"新北市私立展欣老人長期照顧中心（養護型）","1966 長照服務","新北市中和區","私立老人福利機構，收容對象：養護，核定床數 41 床","02-22267373",""
"新北市私立享居老人長期照顧中心（養護型）","1966 長照服務","新北市中和區","私立老人福利機構，收容對象：養護，核定床數 46 床","02-22250966",""
"新北市私立仁安老人長期照顧中心（養護型）","1966 長照服務","新北市中和區","私立老人福利機構，收容對象：養護，核定床數 37 床","02-22481617",""
"新北市私立仁和老人長期照顧中心（養護型）","1966 長照服務","新北市中和區","私立老人福利機構，收容對象：養護，核定床數 40 床","02-22481607",""
"新北市私立祥逸老人長期照顧中心（養護型）","1966 長照服務","新北市中和區","私立老人福利機構，收容對象：養護，核定床數 30 床","02-82453559",""
"新北市私立宜安老人長期照顧中心（養護型）","1966 長照服務","新北市中和區","私立老人福利機構，收容對象：養護，核定床數 47 床","02-22409304",""
"新北市私立御林園老人長期照顧中心（養護型）","1966 長照服務","新北市中和區","私立老人福利機構，收容對象：養護，核定床數 19 床","02-22492772",""
"新北市私立中山老人長期照顧中心（養護型）","1966 長照服務","新北市中和區","私立老人福利機構，收容對象：養護，核定床數 24 床","02-22438323",""
"新北市私立五股愛心老人長期照顧中心（養護型）","1966 長照服務","新北市五股區","私立老人福利機構，收容對象：養護，核定床數 48 床","02-22936066",""
"新北市私立再芳老人長期照顧中心（養護型）","1966 長照服務","新北市五股區","私立老人福利機構，收容對象：養護，核定床數 39 床","02-22923158",""
"新北市私立明泰老人長期照顧中心（養護型）","1966 長照服務","新北市五股區","私立老人福利機構，收容對象：養護，核定床數 35 床","02-22930992",""
"新北市私立松永老人長期照顧中心（養護型）","1966 長照服務","新北市永和區","私立老人福利機構，收容對象：養護，核定床數 47 床","02-29237197",""
"新北市私立寶貝爹娘老人長期照顧中心（養護型）","1966 長照服務","新北市永和區","私立老人福利機構，收容對象：養護，核定床數 48 床","02-29230306",""
"新北市私立宏德老人長期照顧中心（養護型）","1966 長照服務","新北市永和區","私立老人福利機構，收容對象：養護，核定床數 47 床","02-29231336",""
"新北市私立育昇老人長期照顧中心（養護型）","1966 長照服務","新北市永和區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-29261199",""
"新北市私立永恩老人長期照顧中心（養護型）","1966 長照服務","新北市永和區","私立老人福利機構，收容對象：養護，核定床數 48 床","02-29283862",""
"新北市私立永康老人長期照顧中心（養護型）","1966 長照服務","新北市永和區","私立老人福利機構，收容對象：養護，核定床數 48 床","02-29283862",""
"新北市私立寶安老人長期照顧心（養護型）","1966 長照服務","新北市永和區","私立老人福利機構，收容對象：養護，核定床數 47 床","02-89281517",""
"新北市私立福和老人長期照顧中心(養護型)","1966 長照服務","新北市永和區","私立老人福利機構，收容對象：養護，核定床數 19 床","02-89277187",""
"財團法人臺北市私立恆安老人長期照顧中心附設新北市私立大同老人長期照顧中心(養護)","1966 長照服務","新北市汐止區","私立老人福利機構，收容對象：養護，核定床數 196 床","02-86489888",""
"財團法人中華文化社會福利事業基金會附設新北市私立翠柏新村老人安養中心","1966 長照服務","新北市汐止區","私立老人福利機構，收容對象：養護 安養，核定床數 295 床","02-2645-1001
2645-1002",""
"新北市私立德馨老人長期照顧中心(養護型)","1966 長照服務","新北市汐止區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-26471288",""
"新北市私立健銓老人長期照顧中心(養護型)","1966 長照服務","新北市汐止區","私立老人福利機構，收容對象：養護，核定床數 40 床","02-26422467",""
"新北市私立祥恩老人養護中心","1966 長照服務","新北市汐止區","私立老人福利機構，收容對象：養護，核定床數 39 床","02-86424959",""
"新北市私立祥和老人養護中心","1966 長照服務","新北市汐止區","私立老人福利機構，收容對象：養護，核定床數 33 床","02-26499691",""
"新北市私立童心老人長期照顧中心（養護型）","1966 長照服務","新北市汐止區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-26940170",""
"新北市私立安濟老人長期照顧中心(養護型)","1966 長照服務","新北市汐止區","私立老人福利機構，收容對象：養護，核定床數 21 床","02-26951800",""
"新北市私立百睿老人長期照顧中心(養護型)","1966 長照服務","新北市汐止區","私立老人福利機構，收容對象：養護，核定床數 42 床","02-86933112",""
"新北市私立百齡家園老人長期照顧中心（養護型）","1966 長照服務","新北市汐止區","私立老人福利機構，收容對象：養護，核定床數 40 床","02-86931606",""
"新北市私立幸福家園老人長期照顧中心(養護型)","1966 長照服務","新北市汐止區","私立老人福利機構，收容對象：養護，核定床數 42 床","02-26926777",""
"新北市私立好家園老人長期照顧中心（養護型）","1966 長照服務","新北市汐止區","私立老人福利機構，收容對象：養護，核定床數 41 床","02-26926777",""
"新北市私立新陽光老人長期照顧中心(養護型)","1966 長照服務","新北市汐止區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-26933978",""
"新北市私立天愛老人長期照顧中心(養護型)","1966 長照服務","新北市汐止區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-26932239",""
"新北市私立銀泰老人長期照顧中心（養護型）","1966 長照服務","新北市汐止區","私立老人福利機構，收容對象：養護，核定床數 20 床","02-26934386",""
"新北市私立美麗家園老人長期照顧心（養護型）","1966 長照服務","新北市汐止區","私立老人福利機構，收容對象：養護，核定床數 48 床","02-26926111",""
"新北市私立百寧老人長期照顧中心(養護型)","1966 長照服務","新北市汐止區","私立老人福利機構，收容對象：養護，核定床數 40 床","02-86931901",""
"新北市私立東宜老人長期照顧中心（養護型）","1966 長照服務","新北市板橋區","私立老人福利機構，收容對象：養護，核定床數 40 床","02-22755050",""
"新北市私立寶樺老人長期照顧中心（養護型）","1966 長照服務","新北市板橋區","私立老人福利機構，收容對象：養護，核定床數 47 床","02-26820680",""
"新北市私立康達老人長期照顧中心（養護型）","1966 長照服務","新北市板橋區","私立老人福利機構，收容對象：養護，核定床數 47 床","02-26878791",""
"新北市私立松和老人長期照顧中心(養護型)","1966 長照服務","新北市板橋區","私立老人福利機構，收容對象：養護，核定床數 46 床","02-26823334",""
"新北市私立松樹老人長期照顧中心(養護型)","1966 長照服務","新北市板橋區","私立老人福利機構，收容對象：養護，核定床數 47 床","02-25116881",""
"新北市私立松林老人長期照顧中心(養護型)","1966 長照服務","新北市板橋區","私立老人福利機構，收容對象：養護，核定床數 41 床","02-25116881",""
"新北市私立春天老人長期照顧中心（養護型）","1966 長照服務","新北市板橋區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-26841858",""
"新北市私立祥寶老人長期照顧中心(養護型)","1966 長照服務","新北市板橋區","私立老人福利機構，收容對象：養護，核定床數 48 床","02-29539299",""
"新北市私立祥永老人長期照顧中心(養護型)","1966 長照服務","新北市板橋區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-89535859",""
"新北市私立祥好尊榮老人養護中心","1966 長照服務","新北市板橋區","私立老人福利機構，收容對象：養護，核定床數 48 床","02-29540868",""
"新北市私立祥弘老人長期照顧中心（養護型）","1966 長照服務","新北市板橋區","私立老人福利機構，收容對象：養護，核定床數 48 床","02-89533339",""
"新北市私立連旺老人長期照顧中心（養護型）","1966 長照服務","新北市板橋區","私立老人福利機構，收容對象：養護，核定床數 47 床","02-89520508",""
"新北市私立桐心老人養護中心","1966 長照服務","新北市板橋區","私立老人福利機構，收容對象：養護，核定床數 42 床","02-29688657",""
"新北市私立宏國老人長期照顧中心（養護型）","1966 長照服務","新北市板橋區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-89667037",""
"新北市私立祥安居老人長期照顧中心（養護型）","1966 長照服務","新北市板橋區","私立老人福利機構，收容對象：養護，核定床數 44 床","02-89665598",""
"新北市私立瑞昇老人長期照顧中心（養護型）","1966 長照服務","新北市板橋區","私立老人福利機構，收容對象：養護，核定床數 46 床","02-89675498",""
"新北市私立慈徽老人養護中心","1966 長照服務","新北市板橋區","私立老人福利機構，收容對象：養護，核定床數 43 床","02-89665598",""
"新北市私立陽光老人長期照顧中心（養護型）","1966 長照服務","新北市板橋區","私立老人福利機構，收容對象：養護，核定床數 46 床","02-89665598",""
"新北市私立皖美老人長期照顧中心（養護型）","1966 長照服務","新北市板橋區","私立老人福利機構，收容對象：養護，核定床數 47 床","02-89665598",""
"新北市私立祥元尊榮老人長期照顧中心(養護型)","1966 長照服務","新北市板橋區","私立老人福利機構，收容對象：養護，核定床數 44 床","02-89668658",""
"新北市私立領袖天下老人長期照顧中心(養護型)","1966 長照服務","新北市板橋區","私立老人福利機構，收容對象：養護，核定床數 37 床","02-89668656",""
"新北市私立祥仁尊榮老人長期照顧中心(養護型)","1966 長照服務","新北市板橋區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-89668657",""
"新北市私立松園老人長期照顧中心（養護型）","1966 長照服務","新北市板橋區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-89665034",""
"新北市私立鴻祥老人長期照顧中心（養護型）","1966 長照服務","新北市板橋區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-89675401",""
"新北市私立仁民老人長期照顧中心（養護型）","1966 長照服務","新北市板橋區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-22587336",""
"新北市私立迦蜜老人長期照顧中心（養護型）","1966 長照服務","新北市板橋區","私立老人福利機構，收容對象：養護，核定床數 47 床","02-29511181",""
"新北市私立重慶老人長期照顧中心(養護型)","1966 長照服務","新北市板橋區","私立老人福利機構，收容對象：養護，核定床數 29 床","02-29648140",""
"新北市私立慧心老人長期照顧中心（養護型）","1966 長照服務","新北市板橋區","私立老人福利機構，收容對象：養護，核定床數 28 床","02-29567230",""
"新北市私立心田老人長期照顧中心（養護型）","1966 長照服務","新北市板橋區","私立老人福利機構，收容對象：養護 長照，核定床數 45 床","02-89511426",""
"新北市私立廣福老人養護中心","1966 長照服務","新北市板橋區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-89514435",""
"新北市私立廣權老人養護中心","1966 長照服務","新北市板橋區","私立老人福利機構，收容對象：養護，核定床數 26 床","02-89514435",""
"新北市私立安佳老人長期照顧中心（養護型）","1966 長照服務","新北市板橋區","私立老人福利機構，收容對象：養護，核定床數 40 床","02-29688745",""
"新北市私立迦順老人長期照顧中心（養護型）","1966 長照服務","新北市板橋區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-29645889",""
"新北市私立惟思老人養護中心","1966 長照服務","新北市林口區","私立老人福利機構，收容對象：養護，核定床數 43 床","02-26000888",""
"新北市私立夏雨老人長期照顧中心（長期照護型）","1966 長照服務","新北市林口區","私立老人福利機構，收容對象：長照，核定床數 41 床","02-26000888",""
"新北市私立恆輝老人長期照顧中心（養護型）","1966 長照服務","新北市泰山區","私立老人福利機構，收容對象：養護，核定床數 36 床","02-22962153",""
"新北市私立泰山台欣老人長期照顧中心(養護型)","1966 長照服務","新北市泰山區","私立老人福利機構，收容對象：養護，核定床數 48 床","02-29085527",""
"新北市私立思親老人長期照顧中心（養護型）","1966 長照服務","新北市淡水區","私立老人福利機構，收容對象：養護，核定床數 47 床","02-26211033",""
"新北市私立思福老人長期照顧中心（養護型）","1966 長照服務","新北市淡水區","私立老人福利機構，收容對象：養護，核定床數 45 床","02-26211033",""
"新北市私立思源老人養護中心","1966 長照服務","新北市淡水區","私立老人福利機構，收容對象：養護，核定床數 44 床","02-26211033",""
"新北市私立新明厚老人長期照顧中心（養護型）","1966 長照服務","新北市淡水區","私立老人福利機構，收容對象：養護，核定床數 43 床","02-26297290",""
"新北市私立富祥老人長期照顧中心（養護型）","1966 長照服務","新北市淡水區","私立老人福利機構，收容對象：養護，核定床數 36 床","02-88093550",""
"新北市私立崇惠老人長期照顧中心（養護型）","1966 長照服務","新北市淡水區","私立老人福利機構，收容對象：養護，核定床數 41 床","02-86268833",""
"新北市私立模範老人養護中心","1966 長照服務","新北市新店區","私立老人福利機構，收容對象：養護，核定床數 44 床","02-29126188",""
"新北市私立榮華老人長期照顧中心(養護型)","1966 長照服務","新北市新店區","私立老人福利機構，收容對象：養護，核定床數 42 床","02-29124106",""
"新北市私立國泰老人長期照顧中心（養護型）","1966 長照服務","新北市新店區","私立老人福利機構，收容對象：養護，核定床數 35 床","02-29125619",""
"新北市私立匯安老人長期照顧中心（養護型）","1966 長照服務","新北市新店區","私立老人福利機構，收容對象：養護，核定床數 48 床","02-86656656",""
"新北市私立莊敬老人長期照顧中心（養護型）","1966 長照服務","新北市新店區","私立老人福利機構，收容對象：養護，核定床數 40 床","02-22185571",""
"新北市私立溫昕老人長期照顧中心（養護型）","1966 長照服務","新北市新店區","私立老人福利機構，收容對象：養護，核定床數 39 床","02-22190258",""
"財團法人私立廣恩老人養護中心","1966 長照服務","新北市新店區","私立老人福利機構，收容對象：養護 長照，核定床數 133 床","02-22173517",""
"新北市私立新家老人長期照顧中心（養護型）","1966 長照服務","新北市新店區","私立老人福利機構，收容對象：養護，核定床數 24 床","02-22180877",""
"新北市私立康泰老人長期照顧中心（養護型）","1966 長照服務","新北市新店區","私立老人福利機構，收容對象：養護，核定床數 47 床","02-22181535",""
"新北市私立溫馨老人長期照顧中心（養護型）","1966 長照服務","新北市新店區","私立老人福利機構，收容對象：養護，核定床數 45 床","02-82187408",""
"新北市私立亞洲老人長期照顧中心（養護型）","1966 長照服務","新北市新店區","私立老人福利機構，收容對象：養護，核定床數 26 床","02-86671476",""
"新北市私立亞恩老人長期照顧中心（養護型）","1966 長照服務","新北市新店區","私立老人福利機構，收容對象：養護，核定床數 26 床","02-89146536",""
"新北市私立大坪林老人長期照顧中心（養護型）","1966 長照服務","新北市新店區","私立老人福利機構，收容對象：養護 長照，核定床數 46 床","02-29111377",""
"新北市私立皇冠老人養護中心","1966 長照服務","新北市新店區","私立老人福利機構，收容對象：養護 長照，核定床數 47 床","02-29125488",""
"新北市私立民權老人長期照顧中心(長期照護型)","1966 長照服務","新北市新店區","私立老人福利機構，收容對象：長照，核定床數 16 床","02-86671476",""
"新北市私立日祥老人養護中心","1966 長照服務","新北市新店區","私立老人福利機構，收容對象：養護，核定床數 21 床","02-86659609",""
"新北市私立承新老人長期照顧中心（養護型）","1966 長照服務","新北市新店區","私立老人福利機構，收容對象：養護，核定床數 45 床","02-86653731",""
"新北市私立南山老人長期照顧中心(養護型)","1966 長照服務","新北市新店區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-29125070",""
"新北市私立新中老人長期照顧中心(養護型)","1966 長照服務","新北市新莊區","私立老人福利機構，收容對象：養護，核定床數 41 床","02-29938702",""
"新北市私立長恩老人長期照顧中心（養護型）","1966 長照服務","新北市新莊區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-22013158",""
"新北市私立智英老人長期照護中心","1966 長照服務","新北市新莊區","私立老人福利機構，收容對象：長照，核定床數 25 床","02-29085498",""
"新北市私立中英老人養護中心","1966 長照服務","新北市新莊區","私立老人福利機構，收容對象：養護，核定床數 45 床","02-29085498",""
"新北市私立傅英老人長期照顧中心（養護型）","1966 長照服務","新北市新莊區","私立老人福利機構，收容對象：養護，核定床數 45 床","02-29085498",""
"新北市私立仁英老人養護中心","1966 長照服務","新北市新莊區","私立老人福利機構，收容對象：養護，核定床數 45 床","02-29085498",""
"新北市私立佳興老人長期照顧中心（養護型）","1966 長照服務","新北市新莊區","私立老人福利機構，收容對象：養護，核定床數 21 床","02-89920004",""
"新北市私立珍珍老人長期照顧中心（養護型）","1966 長照服務","新北市新莊區","私立老人福利機構，收容對象：養護，核定床數 31 床","02-29981530",""
"新北市私立永瑞老人長期照顧中心（養護型）","1966 長照服務","新北市新莊區","私立老人福利機構，收容對象：養護，核定床數 31 床","02-29941223",""
"新北市私立景馨老人長期照顧中心（養護型）","1966 長照服務","新北市新莊區","私立老人福利機構，收容對象：養護，核定床數 29 床","02-89921892",""
"新北市私立家安老人長期照顧中心(養護型)","1966 長照服務","新北市新莊區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-89929235",""
"新北市私立馨安老人長期照顧中心（養護型）","1966 長照服務","新北市新莊區","私立老人福利機構，收容對象：養護，核定床數 39 床","02-29921656",""
"新北市私立安馨老人長期照顧中心（養護型）","1966 長照服務","新北市新莊區","私立老人福利機構，收容對象：養護，核定床數 42 床","02-29920766",""
"新北市私立常福緣老人長期照顧中心(養護型)","1966 長照服務","新北市新莊區","私立老人福利機構，收容對象：養護，核定床數 38 床","02-89933507",""
"新北市私立景頤老人長期照顧中心(養護型)","1966 長照服務","新北市新莊區","私立老人福利機構，收容對象：養護，核定床數 44 床","02-22772203",""
"新北市私立景福老人長期照顧中心（養護型）","1966 長照服務","新北市新莊區","私立老人福利機構，收容對象：養護，核定床數 35 床","02-22798833",""
"新北市私立老吾老老人長期照顧中心（養護型）","1966 長照服務","新北市新莊區","私立老人福利機構，收容對象：養護，核定床數 46 床","02-22020119",""
"新北市私立佳康老人長期照顧中心（養護型）","1966 長照服務","新北市新莊區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-29083466",""
"新北市私立盛禾老人長期照顧中心（養護型）","1966 長照服務","新北市新莊區","私立老人福利機構，收容對象：養護，核定床數 47 床","02-29081656",""
"新北市私立吉康老人長期照顧中心(養護型)","1966 長照服務","新北市新莊區","私立老人福利機構，收容對象：養護，核定床數 29 床","02-29031720",""
"新北市私立健安老人長期照顧中心（養護型）","1966 長照服務","新北市新莊區","私立老人福利機構，收容對象：養護，核定床數 37 床","02-29031356",""
"新北市私立宏祈老人長期照顧中心（養護型）","1966 長照服務","新北市瑞芳區","私立老人福利機構，收容對象：養護，核定床數 48 床","02-24579446",""
"新北市私立頤瑞老人長期照顧中心（養護型）","1966 長照服務","新北市瑞芳區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-24063372",""
"財團法人新北市私立馨園老人養護中心","1966 長照服務","新北市萬里區","私立老人福利機構，收容對象：養護，核定床數 160 床","02-24989331",""
"新北市立仁愛之家","1966 長照服務","新北市萬里區","公立老人福利機構，收容對象：養護 安養，核定床數 416 床","02-24922511",""
"新北市私立慈嘉老人長期照顧中心（養護型）","1966 長照服務","新北市樹林區","私立老人福利機構，收容對象：養護，核定床數 38 床","02-26863706",""
"新北市私立嘉恩老人長期照顧中心（養護型）","1966 長照服務","新北市樹林區","私立老人福利機構，收容對象：養護，核定床數 47 床","02-26833348",""
"新北市私立恆愛老人長期照顧中心（養護型）","1966 長照服務","新北市樹林區","私立老人福利機構，收容對象：養護，核定床數 39 床","02-86852927",""
"新北市私立禾閤老人長期照顧中心(養護型)","1966 長照服務","新北市樹林區","私立老人福利機構，收容對象：養護，核定床數 33 床","02-26852999",""
"新北市私立慈泰老人長期照顧中心（養護型）","1966 長照服務","新北市樹林區","私立老人福利機構，收容對象：養護，核定床數 47 床","02-26899333",""
"新北市私立嘉宥老人長期照顧中心(養護型)","1966 長照服務","新北市樹林區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-26863706",""
"新北市私立保安老人長期照顧中心(養護型)","1966 長照服務","新北市樹林區","私立老人福利機構，收容對象：養護，核定床數 48 床","02-26863810",""
